Designator,Mid X,Mid Y,Rotation,Layer
BAT+1,87.0,-99.0,0.0,top
BAT+2,213.0,-99.0,0.0,top
BATGND1,92.0,-99.0,0.0,top
BATGND2,208.0,-99.0,0.0,top
DL1,140.712049,-89.702553,270.0,top
DL10,137.162049,-60.901553,270.0,top
DL11,133.612049,-89.702553,270.0,top
DL12,133.612049,-82.503553,270.0,top
DL13,133.612049,-75.304553,270.0,top
DL14,133.612049,-68.100553,270.0,top
DL15,133.612049,-60.901553,270.0,top
DL17,133.612049,-96.901553,270.0,top
DL18,137.162049,-96.901553,270.0,top
DL19,140.712049,-96.901553,270.0,top
DL2,140.712049,-82.503553,270.0,top
DL3,140.712049,-75.299553,270.0,top
DL4,140.712049,-68.100553,270.0,top
DL5,140.712049,-60.901553,270.0,top
DL6,137.162049,-89.702553,270.0,top
DL7,137.162049,-82.503553,270.0,top
DL8,137.162049,-75.304553,270.0,top
DL9,137.162049,-68.100553,270.0,top
DR1,166.422435,-89.691,270.0,top
DR10,162.872435,-60.89,270.0,top
DR11,159.322435,-89.691,270.0,top
DR12,159.322435,-82.492,270.0,top
DR13,159.322435,-75.293,270.0,top
DR14,159.322435,-68.089,270.0,top
DR15,159.322435,-60.89,270.0,top
DR17,166.422435,-96.89,270.0,top
DR18,162.872435,-96.89,270.0,top
DR19,159.322435,-96.89,270.0,top
DR2,166.422435,-82.492,270.0,top
DR3,166.422435,-75.293,270.0,top
DR4,166.422435,-68.089,270.0,top
DR5,166.422435,-60.89,270.0,top
DR6,162.872435,-89.691,270.0,top
DR7,162.872435,-82.492,270.0,top
DR8,162.872435,-75.293,270.0,top
DR9,162.872435,-68.089,270.0,top
J3,138.603,-104.14,270.0,top
J4,161.663,-104.3855,90.0,top
PSW1,65.179341,-51.812503,270.0,top
PSW2,234.912091,-51.784396,270.0,top
RSW1,123.0,-52.675,0.0,top
RSW2,177.109,-52.715,0.0,top
SWL1,45.89170427480626,-79.45452778513777,10.0,top
SWL10,122.741255,-82.057769,0.0,top
SWL11,51.79581827480626,-112.93842578513777,10.0,top
SWL12,68.49206314873166,-97.98554747508142,4.0,top
SWL13,86.741279,-87.901408,0.0,top
SWL14,104.741291,-96.337887,0.0,top
SWL15,122.741255,-99.057989,0.0,top
SWL17,99.715215,-117.047348,0.0,top
SWL18,119.65379041331165,-120.24867504603834,345.0,top
SWL19,138.00714125217073,-128.33914421718956,330.0,top
SWL2,66.12031214873167,-64.06793047508141,4.0,top
SWL3,86.741279,-53.900968,0.0,top
SWL4,104.741291,-62.337447,0.0,top
SWL5,122.741255,-65.057549,0.0,top
SWL6,48.843760274806264,-96.19647478513777,10.0,top
SWL7,67.30618814873166,-81.02673847508142,4.0,top
SWL8,86.741279,-70.901188,0.0,top
SWL9,104.741291,-79.337667,0.0,top
SWR1,257.18648840168044,-80.03133387475371,350.0,top
SWR10,180.365335,-82.142847,0.0,top
SWR11,251.2823744016804,-113.51523087475371,350.0,top
SWR12,234.54343710571104,-98.21709332207983,356.0,top
SWR13,216.365215,-87.901408,0.0,top
SWR14,198.365255,-96.337887,0.0,top
SWR15,180.365335,-99.143067,0.0,top
SWR17,203.390215,-117.047348,0.0,top
SWR18,183.36558104322694,-119.4142165627233,15.0,top
SWR19,164.68977925217072,-126.72709421718955,30.0,top
SWR2,236.91518810571105,-64.29947632207984,356.0,top
SWR3,216.365215,-53.900968,0.0,top
SWR4,198.365255,-62.337447,0.0,top
SWR5,180.365295,-65.057549,0.0,top
SWR6,254.23442940168042,-96.77328287475372,350.0,top
SWR7,235.72931310571104,-81.25828532207984,356.0,top
SWR8,216.365215,-70.901188,0.0,top
SWR9,198.365255,-79.337667,0.0,top
